country,hdi_2022,le_2022,mys_2022,gnipc_2022,ineq_le_2022,ineq_edu_2022,ineq_inc_2022,co2_prod_2022
Poland,0.881,76.996,13.1647501,35150.9519,3.9069636,4.154,19.80187,8.642569909
Portugal,0.874,82.24,9.575940132,35314.99828,2.957619,12.4566,18.35704,3.881234231
Qatar,0.875,81.559,10.1317219,95944.37754,4.0175424,11.225,,39.88427351
Romania,0.827,74.117,11.36019615,31641.38368,4.8961868,5.38576,20.86972,3.993603248
Russian Federation,0.821,70.116,12.41152954,26991.84961,5.5002575,2.03646,18.67459,11.79848928
Rwanda,0.548,67.129,4.878310204,2316.809277,19.326664,27.35907,44.334,0.115399861
Saint Kitts and Nevis,0.838,72.027,10.8494008,28441.68074,7.5414519,,,4.672520271
Saint Lucia,0.725,71.294,8.576973425,14778.3463,9.3180981,25.2268,39.15866,2.594252189
Saint Vincent and the Grenadines,0.772,68.972,10.99625387,14049.14799,9.4912853,6.0822,,2.267377219
Samoa,0.702,72.598,11.36735585,4970.232074,10.988168,7.02996,23.74078,1.153480463
San Marino,0.867,83.433,10.52074301,57686.54334,2.5373304,5.557,,
Sao Tome and Principe,0.613,68.794,5.915788918,4054.106945,10.746681,18.69702,42.35793,0.653094703
Saudi Arabia,0.875,77.905,11.31052971,50620.43706,5.1055102,12.5893,,17.56422655
Senegal,0.517,67.913,2.88736686,3463.806076,16.338989,47.1353,39.28387,0.683799933
Serbia,0.805,74.137,11.5047611,19494.00891,4.1094303,6.24719,13.45828,6.017170065
Seychelles,0.802,71.738,11.19995,28385.74806,9.1437635,6.65648,16.5622,6.223478694
Sierra Leone,0.458,60.411,3.519426358,1612.666542,34.510345,47.50289,35.92492,0.131795192
Singapore,0.949,84.133,11.92488003,88761.14559,2.3018563,9.4059,25.93509,9.397481258
Slovakia,0.855,75.33,13.00719575,32171.24606,4.6702628,1.83224,10.00819,6.455440557
Slovenia,0.926,82.133,12.88015724,41586.89849,2.1491108,2.00861,10.01645,6.16209228
Solomon Islands,0.562,70.742,5.8796802,2273.311097,12.031008,,22.54307,0.426699969
Somalia,0.38,56.107,1.900300026,1072.201461,36.814213,,47.40512,0.038125863
South Africa,0.717,61.48,11.60696983,13185.56419,19.482693,17.29413,59.93249,7.166394002
South Sudan,0.381,55.567,5.726140022,690.6607575,35.92762,39.55255,48.85379,0.171581069
Spain,0.911,83.912,10.60540009,40043.33773,2.6444075,14.9629,19.18199,4.849112709
Sri Lanka,0.78,76.61,11.24960995,11899.49847,5.281548,11.99693,36.57941,0.924001861
Sudan,0.516,65.578,3.87,3514.765869,24.401451,42.45021,39.33727,0.485910197
Suriname,0.69,70.289,8.388631804,12309.99659,11.517643,18.36769,,6.007651084
Sweden,0.952,83.505,12.67372015,56995.84796,2.4708295,3.40621,16.94298,3.680562051
Switzerland,0.967,84.255,13.90406622,69432.78669,3.029099,2.00997,17.66895,4.117550141
Syrian Arab Republic,0.557,72.3,5.736797587,3594.10679,12.666121,,,1.276342693
Tajikistan,0.679,71.288,11.28955089,4807.213923,15.034699,6.03825,19.92641,1.02362405
Tanzania (United Republic of),0.532,66.782,5.639967963,2578.156006,20.588621,26.96013,41.09967,0.24245485
Thailand,0.803,79.68,8.834560711,16886.51113,7.0619612,15.95436,21.70993,3.732051446
Timor-Leste,0.566,69.056,6.020059751,1629.160441,19.257696,44.91179,16.07557,0.502444468
Togo,0.547,61.588,5.590314011,2214.233649,27.716839,37.72766,44.07567,0.295656513
Tonga,0.739,71.27,10.88028609,6360.178905,8.4467316,4.30943,20.73583,1.803201373
Trinidad and Tobago,0.814,74.708,11.73800258,22473.03876,11.051761,9.71398,,23.28987463
Tunisia,0.732,74.263,7.953393173,10296.6496,9.8274803,30.70285,22.91706,2.874056528
Türkiye,0.855,78.475,8.811284129,32833.53512,5.9602227,11.8634,28.90539,5.340025274
Turkmenistan,0.744,69.41,11.14299353,12859.87406,19.215681,2.94467,,11.03383789
Tuvalu,0.653,64.854,10.64458626,4754.453732,14.175153,9.17696,25.14647,1.023741521
Uganda,0.55,63.638,6.235476362,2240.585404,20.433994,27.91438,43.61036,0.132002209
Ukraine,0.734,68.564,11.12330123,11416.2168,6.7684822,3.59926,13.28008,4.827623136
United Arab Emirates,0.937,79.196,12.77375031,74103.71494,4.3868036,9.8075,10.41907,25.33327567
United Kingdom,0.94,82.156,13.4061203,46623.90269,3.4695735,3.29793,16.70364,5.164383683
United States,0.927,78.203,13.57549953,65564.93798,5.6083689,2.57387,23.9285,14.93248748
Uruguay,0.83,78,9.058219782,22206.99029,5.9324446,7.33561,25.13651,2.364765079
Uzbekistan,0.727,71.674,11.91114998,8055.910265,9.0208092,1.77101,,3.414998582
Vanuatu,0.614,70.492,7.183209727,3243.980494,13.385354,,19.1498,0.658901976
Venezuela (Bolivarian Republic of),0.699,71.105,9.628154421,6184.136,12.043796,8.6697,21.13907,2.539494247
Viet Nam,0.726,74.58,8.455348794,10813.98273,12.572742,15.25479,21.05368,3.617121467
Yemen,0.424,63.72,2.776825958,1105.763435,26.683256,46.44566,23.18842,0.351346981
Zambia,0.569,61.803,7.284893177,3157.35862,24.082926,20.43572,63.39851,0.444879802
Zimbabwe,0.55,59.391,8.807762621,2078.918063,24.401804,14.60503,52.88754,0.524974984
Very high human development,0.902,79.30936718,12.25291239,44957.6155,4.532331424,5.934956608,20.15332191,9.538905083
High human development,0.764,75.20367977,8.639074691,15483.82237,8.258774189,13.99389578,29.63179596,5.528362267
Medium human development,0.64,67.95257009,6.678403158,6444.262021,17.40558852,34.56309555,37.11522494,1.590683708
Low human development,0.517,61.6473648,4.665130408,3185.925418,28.92099095,39.15166381,33.39194109,0.444929203
Arab States,0.704,71.30941731,7.764183628,14390.85059,13.7618719,32.92059862,24.54300326,4.557463273
East Asia and the Pacific,0.766,76.21549145,8.217525389,16137.69892,7.895849685,12.28238832,27.87824053,6.167173533
Europe and Central Asia,0.802,73.56457485,10.60917907,19762.98177,7.486083813,6.487459361,20.41587698,5.308463125
Latin America and the Caribbean,0.763,73.71508542,8.967833002,15109.40615,9.787524231,14.74426071,35.34190991,2.629328545
South Asia,0.641,68.44154341,6.629606612,6971.625949,17.73987281,37.72431859,35.46043163,1.875160671
Sub-Saharan Africa,0.549,60.63969999,5.975956597,3666.202926,27.88056777,33.62790692,39.37498579,0.7202711
World,0.739,72.00406985,8.661597531,17254.43404,13.14148957,21.72482986,30.32991104,4.497895101
